vdom,name,category,protocol,tcp-portrange,udp-portrange,protocol-number,visibility,icmptype,proxy
DEH1DEV,PC-Anywhere,Remote Access,,5631,5632,,,,
DEH1DEV,PING,Network Services,ICMP,,,,,8,
DEH1DEV,TIMESTAMP,,ICMP,,,,disable,13,
DEH1DEV,INFO_REQUEST,,ICMP,,,,disable,15,
DEH1DEV,INFO_ADDRESS,,ICMP,,,,disable,17,
DEH1DEV,ONC-RPC,Remote Access,,111,111,,,,
DEH1DEV,DCE-RPC,Remote Access,,135,135,,,,
DEH1DEV,POP3,Email,,110,,,,,
DEH1DEV,POP3S,Email,,995,,,,,
DEH1DEV,PPTP,Tunneling,,1723,,,,,
DEH1DEV,QUAKE,,,,26000 27000 27910 27960,,disable,,
DEH1DEV,RAUDIO,,,,7070,,disable,,
DEH1DEV,REXEC,,,512,,,disable,,
DEH1DEV,RIP,Network Services,,,520,,,,
DEH1DEV,RLOGIN,,,513:512-1023,,,disable,,
DEH1DEV,RSH,,,514:512-1023,,,disable,,
DEH1DEV,SCCP,"VoIP, Messaging & Other Applications",,2000,,,,,
DEH1DEV,SIP,"VoIP, Messaging & Other Applications",,5060,5060,,,,
DEH1DEV,SIP-MSNmessenger,"VoIP, Messaging & Other Applications",,1863,,,,,
DEH1DEV,SAMBA,File Access,,139,,,,,
DEH1DEV,SMTP,Email,,25,,,,,
DEH1DEV,SMTPS,Email,,465,,,,,
DEH1DEV,SNMP,Network Services,,161-162,161-162,,,,
DEH1DEV,SSH,Remote Access,,22,,,,,
DEH1DEV,SYSLOG,Network Services,,,514,,,,
DEH1DEV,TALK,,,,517-518,,disable,,
DEH1DEV,TELNET,Remote Access,,23,,,,,
DEH1DEV,TFTP,File Access,,,69,,,,
DEH1DEV,MGCP,,,,2427 2727,,disable,,
DEH1DEV,UUCP,,,540,,,disable,,
DEH1DEV,VDOLIVE,,,7000-7010,,,disable,,
DEH1DEV,WAIS,,,210,,,disable,,
DEH1DEV,WINFRAME,,,1494 2598,,,disable,,
DEH1DEV,X-WINDOWS,Remote Access,,6000-6063,,,,,
DEH1DEV,PING6,,ICMP6,,,,disable,128,
DEH1DEV,MS-SQL,"VoIP, Messaging & Other Applications",,1433 1434,,,,,
DEH1DEV,MYSQL,"VoIP, Messaging & Other Applications",,3306,,,,,
DEH1DEV,RDP,Remote Access,,3389,,,,,
DEH1DEV,VNC,Remote Access,,5900,,,,,
DEH1DEV,DHCP6,Network Services,,,546 547,,,,
DEH1DEV,SQUID,Tunneling,,3128,,,,,
DEH1DEV,SOCKS,Tunneling,,1080,1080,,,,
DEH1DEV,WINS,Remote Access,,1512,1512,,,,
DEH1DEV,RADIUS,Authentication,,,1812 1813,,,,
DEH1DEV,RADIUS-OLD,,,,1645 1646,,disable,,
DEH1DEV,CVSPSERVER,,,2401,2401,,disable,,
DEH1DEV,AFS3,File Access,,7000-7009,7000-7009,,,,
DEH1DEV,TRACEROUTE,Network Services,,,33434-33535,,,,
DEH1DEV,RTSP,"VoIP, Messaging & Other Applications",,554 7070 8554,554,,,,
DEH1DEV,MMS,,,1755,1024-5000,,disable,,
DEH1DEV,KERBEROS,Authentication,,88 464,88 464,,,,
DEH1DEV,LDAP_UDP,Authentication,,,389,,,,
DEH1DEV,SMB,File Access,,445,,,,,
DEH1DEV,NONE,,,0,,,disable,,
DEH1DEV,webproxy,Web Proxy,ALL,0-65535:0-65535,,,,,enable
DEH1HSN,ALL,General,IP,,,,,,
DEH1HSN,ALL_TCP,General,,1-65535,,,,,
DEH1HSN,ALL_UDP,General,,,1-65535,,,,
DEH1HSN,ALL_ICMP,General,ICMP,,,,,,
DEH1HSN,ALL_ICMP6,General,ICMP6,,,,,,
DEH1HSN,GRE,Tunneling,IP,,,47,,,
DEH1HSN,AH,Tunneling,IP,,,51,,,
DEH1HSN,ESP,Tunneling,IP,,,50,,,
DEH1HSN,AOL,,,5190-5194,,,disable,,
DEH1HSN,BGP,Network Services,,179,,,,,
DEH1HSN,DHCP,Network Services,,,67-68,,,,
DEH1HSN,DNS,Network Services,,53,53,,,,
DEH1HSN,FINGER,,,79,,,disable,,
DEH1HSN,FTP,File Access,,21,,,,,
DEH1HSN,FTP_GET,File Access,,21,,,,,
DEH1HSN,FTP_PUT,File Access,,21,,,,,
DEH1HSN,GOPHER,,,70,,,disable,,
DEH1HSN,H323,"VoIP, Messaging & Other Applications",,1720 1503,1719,,,,
DEH1HSN,HTTP,Web Access,,80,,,,,
DEH1HSN,HTTPS,Web Access,,443,,,,,
DEH1HSN,IKE,Tunneling,,,500 4500,,,,
DEH1HSN,IMAP,Email,,143,,,,,
DEH1HSN,IMAPS,Email,,993,,,,,
DEH1HSN,Internet-Locator-Service,,,389,,,disable,,
DEH1HSN,IRC,"VoIP, Messaging & Other Applications",,6660-6669,,,,,
DEH1HSN,L2TP,Tunneling,,1701,1701,,,,
DEH1HSN,LDAP,Authentication,,389,,,,,
DEH1HSN,NetMeeting,,,1720,,,disable,,
DEH1HSN,NFS,File Access,,111 2049,111 2049,,,,
DEH1HSN,NNTP,,,119,,,disable,,
DEH1HSN,NTP,Network Services,,123,123,,,,
DEH1HSN,OSPF,Network Services,IP,,,89,,,
DEH1HSN,PC-Anywhere,Remote Access,,5631,5632,,,,
DEH1HSN,PING,Network Services,ICMP,,,,,8,
DEH1HSN,TIMESTAMP,,ICMP,,,,disable,13,
DEH1HSN,INFO_REQUEST,,ICMP,,,,disable,15,
DEH1HSN,INFO_ADDRESS,,ICMP,,,,disable,17,
DEH1HSN,ONC-RPC,Remote Access,,111,111,,,,
DEH1HSN,DCE-RPC,Remote Access,,135,135,,,,
DEH1HSN,POP3,Email,,110,,,,,
DEH1HSN,POP3S,Email,,995,,,,,
DEH1HSN,PPTP,Tunneling,,1723,,,,,
DEH1HSN,QUAKE,,,,26000 27000 27910 27960,,disable,,
DEH1HSN,RAUDIO,,,,7070,,disable,,
DEH1HSN,REXEC,,,512,,,disable,,
DEH1HSN,RIP,Network Services,,,520,,,,
DEH1HSN,RLOGIN,,,513:512-1023,,,disable,,
DEH1HSN,RSH,,,514:512-1023,,,disable,,
DEH1HSN,SCCP,"VoIP, Messaging & Other Applications",,2000,,,,,
DEH1HSN,SIP,"VoIP, Messaging & Other Applications",,5060,5060,,,,
DEH1HSN,SIP-MSNmessenger,"VoIP, Messaging & Other Applications",,1863,,,,,
DEH1HSN,SAMBA,File Access,,139,,,,,
DEH1HSN,SMTP,Email,,25,,,,,
DEH1HSN,SMTPS,Email,,465,,,,,
DEH1HSN,SNMP,Network Services,,161-162,161-162,,,,
DEH1HSN,SSH,Remote Access,,22,,,,,
DEH1HSN,SYSLOG,Network Services,,,514,,,,
DEH1HSN,TALK,,,,517-518,,disable,,
DEH1HSN,TELNET,Remote Access,,23,,,,,
DEH1HSN,TFTP,File Access,,,69,,,,
DEH1HSN,MGCP,,,,2427 2727,,disable,,
DEH1HSN,UUCP,,,540,,,disable,,
DEH1HSN,VDOLIVE,,,7000-7010,,,disable,,
DEH1HSN,WAIS,,,210,,,disable,,
DEH1HSN,WINFRAME,,,1494 2598,,,disable,,
DEH1HSN,X-WINDOWS,Remote Access,,6000-6063,,,,,
DEH1HSN,PING6,,ICMP6,,,,disable,128,
DEH1HSN,MS-SQL,"VoIP, Messaging & Other Applications",,1433 1434,,,,,
DEH1HSN,MYSQL,"VoIP, Messaging & Other Applications",,3306,,,,,
DEH1HSN,RDP,Remote Access,,3389,,,,,
DEH1HSN,VNC,Remote Access,,5900,,,,,
DEH1HSN,DHCP6,Network Services,,,546 547,,,,
DEH1HSN,SQUID,Tunneling,,3128,,,,,
DEH1HSN,SOCKS,Tunneling,,1080,1080,,,,
DEH1HSN,WINS,Remote Access,,1512,1512,,,,
DEH1HSN,RADIUS,Authentication,,,1812 1813,,,,
DEH1HSN,RADIUS-OLD,,,,1645 1646,,disable,,
DEH1HSN,CVSPSERVER,,,2401,2401,,disable,,
DEH1HSN,AFS3,File Access,,7000-7009,7000-7009,,,,
DEH1HSN,TRACEROUTE,Network Services,,,33434-33535,,,,
DEH1HSN,RTSP,"VoIP, Messaging & Other Applications",,554 7070 8554,554,,,,
DEH1HSN,MMS,,,1755,1024-5000,,disable,,
DEH1HSN,KERBEROS,Authentication,,88 464,88 464,,,,
DEH1HSN,LDAP_UDP,Authentication,,,389,,,,
DEH1HSN,SMB,File Access,,445,,,,,
DEH1HSN,NONE,,,0,,,disable,,
DEH1HSN,webproxy,Web Proxy,ALL,0-65535:0-65535,,,,,enable
DEH1HKATS1,ALL,General,IP,,,,,,
DEH1HKATS1,ALL_TCP,General,,1-65535,,,,,
DEH1HKATS1,ALL_UDP,General,,,1-65535,,,,
DEH1HKATS1,ALL_ICMP,General,ICMP,,,,,,
DEH1HKATS1,ALL_ICMP6,General,ICMP6,,,,,,
DEH1HKATS1,GRE,Tunneling,IP,,,47,,,
DEH1HKATS1,AH,Tunneling,IP,,,51,,,
DEH1HKATS1,ESP,Tunneling,IP,,,50,,,
DEH1HKATS1,AOL,,,5190-5194,,,disable,,
DEH1HKATS1,BGP,Network Services,,179,,,,,
DEH1HKATS1,DHCP,Network Services,,,67-68,,,,
DEH1HKATS1,DNS,Network Services,,53,53,,,,
DEH1HKATS1,FINGER,,,79,,,disable,,
DEH1HKATS1,FTP,File Access,,21,,,,,
DEH1HKATS1,FTP_GET,File Access,,21,,,,,
DEH1HKATS1,FTP_PUT,File Access,,21,,,,,
DEH1HKATS1,GOPHER,,,70,,,disable,,
DEH1HKATS1,H323,"VoIP, Messaging & Other Applications",,1720 1503,1719,,,,
DEH1HKATS1,HTTP,Web Access,,80,,,,,
DEH1HKATS1,HTTPS,Web Access,,443,,,,,
DEH1HKATS1,IKE,Tunneling,,,500 4500,,,,
DEH1HKATS1,IMAP,Email,,143,,,,,
DEH1HKATS1,IMAPS,Email,,993,,,,,
DEH1HKATS1,Internet-Locator-Service,,,389,,,disable,,
DEH1HKATS1,IRC,"VoIP, Messaging & Other Applications",,6660-6669,,,,,
DEH1HKATS1,L2TP,Tunneling,,1701,1701,,,,
DEH1HKATS1,LDAP,Authentication,,389,,,,,
DEH1HKATS1,NetMeeting,,,1720,,,disable,,
DEH1HKATS1,NFS,File Access,,111 2049,111 2049,,,,
DEH1HKATS1,NNTP,,,119,,,disable,,
DEH1HKATS1,NTP,Network Services,,123,123,,,,
DEH1HKATS1,OSPF,Network Services,IP,,,89,,,
DEH1HKATS1,PC-Anywhere,Remote Access,,5631,5632,,,,
DEH1HKATS1,PING,Network Services,ICMP,,,,,8,
DEH1HKATS1,TIMESTAMP,,ICMP,,,,disable,13,
DEH1HKATS1,INFO_REQUEST,,ICMP,,,,disable,15,
DEH1HKATS1,INFO_ADDRESS,,ICMP,,,,disable,17,
DEH1HKATS1,ONC-RPC,Remote Access,,111,111,,,,
DEH1HKATS1,DCE-RPC,Remote Access,,135,135,,,,
DEH1HKATS1,POP3,Email,,110,,,,,
DEH1HKATS1,POP3S,Email,,995,,,,,
DEH1HKATS1,PPTP,Tunneling,,1723,,,,,
DEH1HKATS1,QUAKE,,,,26000 27000 27910 27960,,disable,,
DEH1HKATS1,RAUDIO,,,,7070,,disable,,
DEH1HKATS1,REXEC,,,512,,,disable,,
DEH1HKATS1,RIP,Network Services,,,520,,,,
DEH1HKATS1,RLOGIN,,,513:512-1023,,,disable,,
DEH1HKATS1,RSH,,,514:512-1023,,,disable,,
DEH1HKATS1,SCCP,"VoIP, Messaging & Other Applications",,2000,,,,,
DEH1HKATS1,SIP,"VoIP, Messaging & Other Applications",,5060,5060,,,,
DEH1HKATS1,SIP-MSNmessenger,"VoIP, Messaging & Other Applications",,1863,,,,,
DEH1HKATS1,SAMBA,File Access,,139,,,,,
DEH1HKATS1,SMTP,Email,,25,,,,,
DEH1HKATS1,SMTPS,Email,,465,,,,,
DEH1HKATS1,SNMP,Network Services,,161-162,161-162,,,,
DEH1HKATS1,SSH,Remote Access,,22,,,,,
DEH1HKATS1,SYSLOG,Network Services,,,514,,,,
DEH1HKATS1,TALK,,,,517-518,,disable,,
DEH1HKATS1,TELNET,Remote Access,,23,,,,,
DEH1HKATS1,TFTP,File Access,,,69,,,,
DEH1HKATS1,MGCP,,,,2427 2727,,disable,,
DEH1HKATS1,UUCP,,,540,,,disable,,
DEH1HKATS1,VDOLIVE,,,7000-7010,,,disable,,
DEH1HKATS1,WAIS,,,210,,,disable,,
DEH1HKATS1,WINFRAME,,,1494 2598,,,disable,,
DEH1HKATS1,X-WINDOWS,Remote Access,,6000-6063,,,,,
DEH1HKATS1,PING6,,ICMP6,,,,disable,128,
DEH1HKATS1,MS-SQL,"VoIP, Messaging & Other Applications",,1433 1434,,,,,
DEH1HKATS1,MYSQL,"VoIP, Messaging & Other Applications",,3306,,,,,
DEH1HKATS1,RDP,Remote Access,,3389,,,,,
DEH1HKATS1,VNC,Remote Access,,5900,,,,,
DEH1HKATS1,DHCP6,Network Services,,,546 547,,,,
DEH1HKATS1,SQUID,Tunneling,,3128,,,,,
DEH1HKATS1,SOCKS,Tunneling,,1080,1080,,,,
DEH1HKATS1,WINS,Remote Access,,1512,1512,,,,
DEH1HKATS1,RADIUS,Authentication,,,1812 1813,,,,
DEH1HKATS1,RADIUS-OLD,,,,1645 1646,,disable,,
DEH1HKATS1,CVSPSERVER,,,2401,2401,,disable,,
DEH1HKATS1,AFS3,File Access,,7000-7009,7000-7009,,,,
DEH1HKATS1,TRACEROUTE,Network Services,,,33434-33535,,,,
DEH1HKATS1,RTSP,"VoIP, Messaging & Other Applications",,554 7070 8554,554,,,,
DEH1HKATS1,MMS,,,1755,1024-5000,,disable,,
DEH1HKATS1,KERBEROS,Authentication,,88 464,88 464,,,,
DEH1HKATS1,LDAP_UDP,Authentication,,,389,,,,
DEH1HKATS1,SMB,File Access,,445,,,,,
DEH1HKATS1,NONE,,,0,,,disable,,
DEH1HKATS1,webproxy,Web Proxy,ALL,0-65535:0-65535,,,,,enable
DEH1HKATS1,Port_to_BMC,,,2059 1828-1838 3181-3183,162,,,,
DEH1HKATS1,Port_from_BMC,,,1828-1838 3181 3281 3381 3481 3581 3681 3781 3881 3981,,,,,
DEH1HKATS1,Port_SEPM,,,22 80 137-139 443 445 2967 8014,,,,,
DEH1HKATS1,UDP/123,,,,123,,,,
DEH1HKATS1,TCP/22,,,22,,,,,
DEH1HKATS1,TCP/80,,,80,,,,,
DEH1HKATS1,PORT_PATCH_MGT,,,137-139 443 445 3121 3389,,,,,
DEH1HKATS1,PORT_AD_TCP,,,53 88 123 135 139 389 445 464 636 3268-3269 1024-3388 3390-65535,,,,,
DEH1HKATS1,PORT_AD_UDP,,,,53 88 123 135 138 389 445 464 1024-65535,,,,
DEH1HKATS1,PORT_HP_ILO,,,22 23 80 443 623 3002 3389 9300 17988 17990,,,,,
DEH1HKATS1,PORT_SCOM,,,80 443 5723,,,,,
DEH1HKATS1,PORT_TRENDMICRO,,,8080 11267,,,,,
DEH1HKATS1,TCP/3389,,,3389,,,,,
DEH1HKATS1,TCP/1688,,,1688,,,,,
DEH1HKATS1,TCP_10022,,,10022,,,,,
DEH1HKATS1,TCP_14002,,,14002,,,,,
DEH1HKATS1,TCP_22,,,22,,,,,
DEH1HKATS1,TCP_30001-30010,,,30001-30010,,,,,
DEH1HKATS1,TCP_55455,,,55455,,,,,
DEH1HKATS1,TCP_12024,,,12024,,,,,
DEH1HKATS1,TCP_12025,,,12025,,,,,
DEH1HKATS1,TCP_389,,,389,,,,,
DEH1HKATS1,UDP_51000-51009,,,,51000-51009,,,,
DEH1COMM,ALL,General,IP,,,,,,
DEH1COMM,ALL_TCP,General,,1-65535,,,,,
DEH1COMM,ALL_UDP,General,,,1-65535,,,,
DEH1COMM,ALL_ICMP,General,ICMP,,,,,,
DEH1COMM,ALL_ICMP6,General,ICMP6,,,,,,
DEH1COMM,GRE,Tunneling,IP,,,47,,,
DEH1COMM,AH,Tunneling,IP,,,51,,,
DEH1COMM,ESP,Tunneling,IP,,,50,,,
DEH1COMM,AOL,,,5190-5194,,,disable,,
DEH1COMM,BGP,Network Services,,179,,,,,
DEH1COMM,DHCP,Network Services,,,67-68,,,,
DEH1COMM,DNS,Network Services,,53,53,,,,
DEH1COMM,FINGER,,,79,,,disable,,
DEH1COMM,FTP,File Access,,21,,,,,
DEH1COMM,FTP_GET,File Access,,21,,,,,
DEH1COMM,FTP_PUT,File Access,,21,,,,,
DEH1COMM,GOPHER,,,70,,,disable,,
DEH1COMM,H323,"VoIP, Messaging & Other Applications",,1720 1503,1719,,,,
DEH1COMM,HTTP,Web Access,,80,,,,,
DEH1COMM,HTTPS,Web Access,,443,,,,,
DEH1COMM,IKE,Tunneling,,,500 4500,,,,
DEH1COMM,IMAP,Email,,143,,,,,
DEH1COMM,IMAPS,Email,,993,,,,,
DEH1COMM,Internet-Locator-Service,,,389,,,disable,,
DEH1COMM,IRC,"VoIP, Messaging & Other Applications",,6660-6669,,,,,
DEH1COMM,L2TP,Tunneling,,1701,1701,,,,
DEH1COMM,LDAP,Authentication,,389,,,,,
DEH1COMM,NetMeeting,,,1720,,,disable,,
DEH1COMM,NFS,File Access,,111 2049,111 2049,,,,
DEH1COMM,NNTP,,,119,,,disable,,
DEH1COMM,NTP,Network Services,,123,123,,,,
DEH1COMM,OSPF,Network Services,IP,,,89,,,
DEH1COMM,PC-Anywhere,Remote Access,,5631,5632,,,,
DEH1COMM,PING,Network Services,ICMP,,,,,8,
DEH1COMM,TIMESTAMP,,ICMP,,,,disable,13,
DEH1COMM,INFO_REQUEST,,ICMP,,,,disable,15,
DEH1COMM,INFO_ADDRESS,,ICMP,,,,disable,17,
DEH1COMM,ONC-RPC,Remote Access,,111,111,,,,
DEH1COMM,DCE-RPC,Remote Access,,135,135,,,,
DEH1COMM,POP3,Email,,110,,,,,
DEH1COMM,POP3S,Email,,995,,,,,
DEH1COMM,PPTP,Tunneling,,1723,,,,,
DEH1COMM,QUAKE,,,,26000 27000 27910 27960,,disable,,
DEH1COMM,RAUDIO,,,,7070,,disable,,
DEH1COMM,REXEC,,,512,,,disable,,
DEH1COMM,RIP,Network Services,,,520,,,,
DEH1COMM,RLOGIN,,,513:512-1023,,,disable,,
DEH1COMM,RSH,,,514:512-1023,,,disable,,
DEH1COMM,SCCP,"VoIP, Messaging & Other Applications",,2000,,,,,
DEH1COMM,SIP,"VoIP, Messaging & Other Applications",,5060,5060,,,,
DEH1COMM,SIP-MSNmessenger,"VoIP, Messaging & Other Applications",,1863,,,,,
DEH1COMM,SAMBA,File Access,,139,,,,,
DEH1COMM,SMTP,Email,,25,,,,,
DEH1COMM,SMTPS,Email,,465,,,,,
DEH1COMM,SNMP,Network Services,,161-162,161-162,,,,
DEH1COMM,SSH,Remote Access,,22,,,,,
DEH1COMM,SYSLOG,Network Services,,,514,,,,
DEH1COMM,TALK,,,,517-518,,disable,,
DEH1COMM,TELNET,Remote Access,,23,,,,,
DEH1COMM,TFTP,File Access,,,69,,,,
DEH1COMM,MGCP,,,,2427 2727,,disable,,
DEH1COMM,UUCP,,,540,,,disable,,
DEH1COMM,VDOLIVE,,,7000-7010,,,disable,,
DEH1COMM,WAIS,,,210,,,disable,,
DEH1COMM,WINFRAME,,,1494 2598,,,disable,,
DEH1COMM,X-WINDOWS,Remote Access,,6000-6063,,,,,
DEH1COMM,PING6,,ICMP6,,,,disable,128,
DEH1COMM,MS-SQL,"VoIP, Messaging & Other Applications",,1433 1434,,,,,
DEH1COMM,MYSQL,"VoIP, Messaging & Other Applications",,3306,,,,,
DEH1COMM,RDP,Remote Access,,3389,,,,,
DEH1COMM,VNC,Remote Access,,5900,,,,,
DEH1COMM,DHCP6,Network Services,,,546 547,,,,
DEH1COMM,SQUID,Tunneling,,3128,,,,,
DEH1COMM,SOCKS,Tunneling,,1080,1080,,,,
DEH1COMM,WINS,Remote Access,,1512,1512,,,,
DEH1COMM,RADIUS,Authentication,,,1812 1813,,,,
DEH1COMM,RADIUS-OLD,,,,1645 1646,,disable,,
DEH1COMM,CVSPSERVER,,,2401,2401,,disable,,
DEH1COMM,AFS3,File Access,,7000-7009,7000-7009,,,,
DEH1COMM,TRACEROUTE,Network Services,,,33434-33535,,,,
DEH1COMM,RTSP,"VoIP, Messaging & Other Applications",,554 7070 8554,554,,,,
DEH1COMM,MMS,,,1755,1024-5000,,disable,,
DEH1COMM,KERBEROS,Authentication,,88 464,88 464,,,,
DEH1COMM,LDAP_UDP,Authentication,,,389,,,,
DEH1COMM,SMB,File Access,,445,,,,,
DEH1COMM,NONE,,,0,,,disable,,
DEH1COMM,webproxy,Web Proxy,ALL,0-65535:0-65535,,,,,enable
DEH1COMM,TCP/22,,,22,,,,,
DEH1COMM,TCP/139,,,139,,,,,
DEH1COMM,TCP/445,,,445,,,,,
DEH1COMM,TCP/3389,,,3389,,,,,
DEH1COMM,UDP/123,,,,123,,,,
DEH1COMM,PORT_HP_ILO,,,22 23 80 443 623 3002 3389 9300 17988 17990,,,,,
DEH1COMM,TCP/8082-8083,,,8082-8083,,,,,
DEH1COMM,TCP/8090-8093,,,8090-8093,,,,,
DEH1COMM,TCP/8443,,,8443,,,,,
DEH1COMM,TCP/12024-12027,,,12024-12027,,,,,
DEH1COMM,TCP/14030,,,14030,,,,,
DEH1COMM,TCP_22,,,22,,,,,
DEH1MC1,ALL,General,IP,,,,,,
DEH1MC1,ALL_TCP,General,,1-65535,,,,,
DEH1MC1,ALL_UDP,General,,,1-65535,,,,
DEH1MC1,ALL_ICMP,General,ICMP,,,,,,
DEH1MC1,ALL_ICMP6,General,ICMP6,,,,,,
DEH1MC1,GRE,Tunneling,IP,,,47,,,
DEH1MC1,AH,Tunneling,IP,,,51,,,
DEH1MC1,ESP,Tunneling,IP,,,50,,,
DEH1MC1,AOL,,,5190-5194,,,disable,,
